,Date,Open,High,Low,Close,Adj Close,Volume,adjustRatio,Label
4516,2022-03-18,139.93,141.63,126.37,141.45,128.76,7466000,1.1,0
4517,2022-03-21,141.71,142.52,127.4,140.72,128.1,3384600,1.1,0
4518,2022-03-22,141.17,142.05,127.85,141.78,129.06,2690200,1.1,0
4519,2022-03-23,141.8,142.06,128.25,140.94,128.3,2924500,1.1,0
4520,2022-03-24,140.97,142.11,127.8,141.98,129.25,2971100,1.1,0
4521,2022-03-25,142.26,144.35,129.31,144.29,131.35,3530200,1.1,0
4522,2022-03-28,143.71,144.45,129.6,144.42,131.47,2483500,1.1,0
4523,2022-03-29,145.05,145.92,130.43,144.94,131.94,5791000,1.1,0
4524,2022-03-30,145.02,146.19,131.39,145.15,132.13,2622900,1.1,2
4525,2022-03-31,143.6,144.87,130.0,142.83,130.02,4274000,1.1,0
4526,2022-04-01,142.43,143.1,128.06,142.97,130.15,4012400,1.1,0
4527,2022-04-04,143.09,143.3,128.93,143.1,130.27,2809800,1.1,0
4528,2022-04-05,142.64,144.16,128.66,141.59,128.89,3107200,1.1,0
4529,2022-04-06,140.38,142.28,127.25,142.14,129.39,3958100,1.1,0
4530,2022-04-07,141.57,141.99,126.73,141.22,128.55,3538300,1.1,0
4531,2022-04-08,140.63,141.47,127.27,140.32,127.73,3143300,1.1,0
4532,2022-04-11,140.55,140.8,126.18,138.82,126.37,3202500,1.1,0
4533,2022-04-12,138.88,139.89,125.58,138.39,125.98,2691000,1.1,1
4534,2022-04-13,138.01,139.15,124.91,138.56,126.14,3064900,1.1,0
4535,2022-04-14,141.63,143.44,126.38,139.03,126.56,6384200,1.1,0
4536,2022-04-18,139.08,139.95,125.53,138.61,126.17,4884200,1.1,0
4537,2022-04-19,138.5,142.15,126.0,141.87,129.15,7971400,1.1,0
4538,2022-04-20,148.31,153.32,133.38,151.95,138.32,17859200,1.1,0
4539,2022-04-21,151.85,155.86,137.35,153.63,139.85,9922300,1.1,2
4540,2022-04-22,153.46,154.28,137.35,151.87,138.25,6508600,1.1,0
4541,2022-04-25,151.15,153.41,135.19,152.81,139.1,5748300,1.1,0
4542,2022-04-26,152.7,153.66,136.17,149.61,136.19,4956200,1.1,0
4543,2022-04-27,149.15,150.63,134.63,148.36,135.06,4369100,1.1,0
4544,2022-04-28,150.34,150.49,134.81,149.12,135.74,4474300,1.1,0
4545,2022-04-29,148.45,148.91,132.0,145.24,132.21,5078700,1.1,1
4546,2022-05-02,146.1,146.95,130.89,146.15,133.04,4213500,1.1,0
4547,2022-05-03,146.11,146.77,131.99,145.58,132.52,3688600,1.1,0
4548,2022-05-04,145.96,151.45,132.14,150.93,137.4,5932600,1.1,0
4549,2022-05-05,149.9,150.78,134.76,149.31,135.92,5957400,1.1,0
4550,2022-05-06,148.82,151.59,135.47,151.24,137.67,7306400,1.1,2
4551,2022-05-09,145.88,147.98,133.32,145.91,134.44,7647900,1.09,0
4552,2022-05-10,146.53,146.97,128.43,140.16,129.13,8642400,1.09,1
4553,2022-05-11,140.94,144.31,129.86,141.91,130.75,5301100,1.09,0
4554,2022-05-12,142.47,145.02,130.41,144.24,132.9,5384800,1.09,0
4555,2022-05-13,144.36,145.22,131.05,145.01,133.6,4195100,1.09,0
4556,2022-05-16,144.46,148.16,132.41,146.56,135.03,4250400,1.09,0
4557,2022-05-17,148.9,150.18,135.64,150.18,138.37,4372900,1.09,2
4558,2022-05-18,148.81,149.37,132.17,144.29,132.94,6003000,1.09,0
4559,2022-05-19,143.27,143.62,128.71,140.73,129.66,5819700,1.09,0
4560,2022-05-20,141.3,141.5,125.8,139.45,128.48,6914500,1.09,1
4561,2022-05-23,140.56,143.22,129.42,142.37,131.17,3591500,1.09,0
4562,2022-05-24,141.71,145.84,130.42,145.22,133.8,4189700,1.09,0
4563,2022-05-25,144.2,146.33,132.86,145.86,134.39,3299300,1.09,0
4564,2022-05-26,146.53,149.3,134.52,148.58,136.89,3929300,1.09,0
4565,2022-05-27,149.11,151.66,137.24,151.15,139.27,4608000,1.09,0
4566,2022-05-31,150.0,151.77,136.81,150.69,138.84,7978100,1.09,0
4567,2022-06-01,151.6,152.47,138.52,151.34,139.43,3796500,1.09,0
4568,2022-06-02,151.35,152.26,136.85,152.11,140.15,3734800,1.09,0
4569,2022-06-03,152.23,154.75,139.74,153.23,141.18,4352200,1.09,0
4570,2022-06-06,155.19,157.09,142.0,155.08,142.88,4766900,1.09,2
4571,2022-06-07,154.77,155.19,140.96,154.97,142.78,2887100,1.09,0
4572,2022-06-08,154.2,154.99,140.15,152.86,140.83,3005700,1.09,0
4573,2022-06-09,152.11,153.08,137.93,149.74,137.96,3591000,1.09,0
4574,2022-06-10,149.56,149.56,135.25,147.81,136.19,4659500,1.09,0
4575,2022-06-13,145.41,149.32,133.76,146.65,135.11,6486000,1.09,0
4576,2022-06-14,146.52,148.64,134.86,147.3,135.72,4607800,1.09,0
4577,2022-06-15,147.62,150.27,135.58,148.76,137.06,4606900,1.09,0
4578,2022-06-16,146.85,147.87,134.39,147.25,135.67,5386400,1.09,0
4579,2022-06-17,147.6,148.67,132.85,146.55,135.02,12968500,1.09,1
4580,2022-06-21,147.5,150.32,135.9,149.62,137.85,4089300,1.09,0
4581,2022-06-22,147.72,149.97,136.03,148.78,137.08,3791500,1.09,0
4582,2022-06-23,148.85,150.46,136.5,150.26,138.44,4547900,1.09,0
4583,2022-06-24,151.08,154.52,139.13,154.18,142.06,11493000,1.09,0
4584,2022-06-27,154.4,156.11,141.95,154.99,142.8,3936000,1.09,2
4585,2022-06-28,155.12,156.47,141.32,153.97,141.86,4064800,1.09,0
4586,2022-06-29,154.93,155.78,139.5,152.73,140.71,4161500,1.09,0
4587,2022-06-30,151.5,154.63,139.28,153.25,141.19,4878000,1.09,0
4588,2022-07-01,153.04,153.76,139.26,153.17,141.12,4011900,1.09,0
4589,2022-07-05,151.91,151.91,135.27,149.36,137.62,6273400,1.09,1
4590,2022-07-06,149.78,151.02,137.13,149.87,138.08,3237000,1.09,0
4591,2022-07-07,150.77,153.39,138.83,152.86,140.83,3897100,1.09,0
4592,2022-07-08,152.78,153.39,139.82,152.46,140.47,2820800,1.09,0
4593,2022-07-11,152.62,153.98,140.13,153.04,141.0,3904700,1.09,0
4594,2022-07-12,152.87,153.64,138.57,151.07,139.18,3235400,1.09,0
4595,2022-07-13,148.89,150.76,136.8,148.89,137.18,4123200,1.09,0
4596,2022-07-14,147.18,151.34,135.02,150.93,139.06,5298400,1.09,0
4597,2022-07-15,152.7,152.7,138.61,151.87,139.92,4519300,1.09,0
4598,2022-07-18,152.11,152.28,137.78,149.92,138.13,8231700,1.09,0
4599,2022-07-19,142.81,143.87,127.72,142.05,130.88,29690500,1.09,0
4600,2022-07-20,141.86,141.88,128.06,140.21,129.18,9882000,1.09,0
4601,2022-07-21,139.74,139.81,125.13,138.0,127.15,11975400,1.09,1
4602,2022-07-22,137.88,139.28,125.71,139.2,128.25,6467200,1.09,0
4603,2022-07-25,139.4,140.15,127.9,139.51,128.54,4702400,1.09,0
4604,2022-07-26,139.2,140.33,127.63,139.01,128.08,3645300,1.09,0
4605,2022-07-27,138.9,140.48,127.58,140.15,129.12,4175600,1.09,0
4606,2022-07-28,139.74,140.89,128.61,140.25,129.22,3913700,1.09,0
4607,2022-07-29,140.58,142.19,129.31,141.96,130.79,5786800,1.09,0
4608,2022-08-01,141.92,144.03,130.7,143.32,132.04,4142100,1.09,0
4609,2022-08-02,143.49,144.12,130.51,143.07,131.81,4403600,1.09,0
4610,2022-08-03,143.07,144.2,131.32,143.64,132.34,3088500,1.09,0
4611,2022-08-04,143.43,143.58,131.02,142.87,131.64,3179800,1.09,0
4612,2022-08-05,142.45,144.0,131.07,143.79,132.48,2586500,1.09,0
4613,2022-08-08,144.46,144.73,132.02,143.93,132.61,3821200,1.09,0
4614,2022-08-09,139.26,140.19,129.12,138.77,129.47,3496000,1.07,1
4615,2022-08-10,140.15,141.25,130.34,140.95,131.5,3664000,1.07,0
4616,2022-08-11,141.88,142.81,132.0,142.07,132.54,3501900,1.07,0
4617,2022-08-12,142.15,143.72,131.98,143.63,134.01,2766900,1.07,0
4618,2022-08-15,142.52,144.91,132.24,144.63,134.93,2791200,1.07,0
4619,2022-08-16,144.28,147.25,134.45,146.38,136.56,4313600,1.07,0
4620,2022-08-17,146.27,148.37,136.3,147.69,137.79,3667600,1.07,0
4621,2022-08-18,147.69,149.11,137.75,149.06,139.07,3177700,1.07,2
4622,2022-08-19,148.72,149.36,137.66,148.32,138.37,3155800,1.07,0
4623,2022-08-22,147.54,147.76,135.47,145.29,135.55,3093600,1.07,0
4624,2022-08-23,145.09,145.88,134.72,144.42,134.74,4141800,1.07,0
4625,2022-08-24,144.58,144.82,133.11,142.8,133.23,2855400,1.07,0
4626,2022-08-25,143.25,144.09,133.07,143.61,133.98,2706000,1.07,0
4627,2022-08-26,143.74,143.82,130.34,139.75,130.38,4185300,1.07,0
4628,2022-08-29,139.34,140.87,129.57,139.68,130.31,2783000,1.07,0
4629,2022-08-30,139.95,140.17,129.29,138.89,129.58,2407900,1.07,0
